county,Replacement_county,region
Bedford,Bedfordshire,East
Luton,Bedfordshire,South East
Bracknell Forest,Berkshire,South East
Reading,Berkshire,South East
Slough,Berkshire,South East
West Berkshire,Berkshire,South East
Windsor And Maidenhead,Berkshire,South East
Wokingham,Berkshire,South East
Blaenau Gwent,Blaenau Gwent,Wales
Bridgend,Bridgend,Wales
Buckinghamshire,Buckinghamshire,South East
Milton Keynes,Buckinghamshire,South East
Caerphilly,Caerphilly,Wales
Cambridgeshire,Cambridgeshire,South East
City Of Peterborough,Cambridgeshire,East
Cardiff,Cardiff,Wales
Carmarthenshire,Carmarthenshire,Wales
Ceredigion,Ceredigion,Wales
Central Bedfordshire,Bedfordshire,East
Cheshire East,Cheshire,North West
Cheshire West And Chester,Cheshire,North West
City Of Derby,Derbyshire,East Midlands
City Of Nottingham,Nottinghamshire,East Midlands
Halton,Cheshire,North West
Warrington,Cheshire,North West
Conwy,Conwy,Wales
Cornwall,Cornwall,South West
Isles Of Scilly,Cornwall,South West
County Durham,County Durham,North East
Cumberland,Cumberland,North West
Cumbria,Cumbria,North West
Westmorland And Furness,Cumbria,North West
Denbighshire,Denbighshire,Wales
Derbyshire,Derbyshire,East Midlands
City Of Plymouth,Devon,South West
Devon,Devon,South West
Torbay,Devon,South West
Bournemouth,Dorset,South West
"Bournemouth, Christchurch And Poole",Dorset,South West
Dorset,Dorset,South West
Poole,Dorset,South West
Darlington,Durham,North East
Hartlepool,Durham,North East
Stockton-On-Tees,Durham,North East
City Of Kingston Upon Hull,East Riding Of Yorkshire,North East
East Riding Of Yorkshire,East Riding Of Yorkshire,Yorkshire and the Humber
Brighton And Hove,East Sussex,South East
East Sussex,East Sussex,South East
Essex,Essex,East
Southend-On-Sea,Essex,East
Thurrock,Essex,South East
Flintshire,Flintshire,Wales
City Of Bristol,Gloucestershire,South West
Gloucestershire,Gloucestershire,South West
South Gloucestershire,Gloucestershire,South West
Greater London,Greater London,London
Greater Manchester,Greater Manchester,North West
Gwynedd,Gwynedd,Wales
Hampshire,Hampshire,South East
Portsmouth,Hampshire,South East
Southampton,Hampshire,South East
Herefordshire,Herefordshire,West Midlands
Hertfordshire,Hertfordshire,East
Isle Of Anglesey,Isle Of Anglesey,Wales
Isle Of Wight,Isle Of Wight,South East
Kent,Kent,South East
Medway,Kent,South East
Blackburn With Darwen,Lancashire,North West
Blackpool,Lancashire,North West
Lancashire,Lancashire,North West
Leicester,Leicestershire,East Midlands
Leicestershire,Leicestershire,East Midlands
Rutland,Leicestershire,East Midlands
Lincolnshire,Lincolnshire,East Midlands
North East Lincolnshire,Lincolnshire,North East
North Lincolnshire,Lincolnshire,Yorkshire and the Humber
Merseyside,Merseyside,North West
Merthyr Tydfil,Merthyr Tydfil,Wales
Monmouthshire,Monmouthshire,Wales
Neath Port Talbot,Neath Port Talbot,Wales
Newport,Newport,Wales
Norfolk,Norfolk,East
Middlesbrough,North Yorkshire,North East
North Yorkshire,North Yorkshire,North East
Redcar And Cleveland,North Yorkshire,North East
York,North Yorkshire,Yorkshire and the Humber
North Northamptonshire,Northamptonshire,East Midlands
Northamptonshire,Northamptonshire,East Midlands
West Northamptonshire,Northamptonshire,East Midlands
Northumberland,Northumberland,North East
Nottinghamshire,Nottinghamshire,East Midlands
Oxfordshire,Oxfordshire,South East
Pembrokeshire,Pembrokeshire,Wales
Powys,Powys,Wales
Rhondda Cynon Taff,Rhondda Cynon Taff,Wales
Shropshire,Shropshire,West Midlands
Wrekin,Shropshire,West Midlands
Bath And North East Somerset,Somerset,South West
North Somerset,Somerset,South West
Somerset,Somerset,South West
South Yorkshire,South Yorkshire,Yorkshire and the Humber
Staffordshire,Staffordshire,West Midlands
Stoke-On-Trent,Staffordshire,West Midlands
Suffolk,Suffolk,East
Surrey,Surrey,South East
Swansea,Swansea,Wales
The Vale Of Glamorgan,The Vale Of Glamorgan,Wales
Torfaen,Torfaen,Wales
Tyne And Wear,Tyne And Wear,North East
Warwickshire,Warwickshire,West Midlands
West Midlands,West Midlands,West Midlands
West Sussex,West Sussex,South East
West Yorkshire,West Yorkshire,Yorkshire and the Humber
Swindon,Wiltshire,South West
Wiltshire,Wiltshire,South West
Worcestershire,Worcestershire,West Midlands
Wrexham,Wrexham,Wales
